,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
1,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
2,250.0,250.0,76.0,250.0,75.0,76.0,65.0,250.0,250.0,250.0,250.0,65.0,250.0,77.0,250.0,250.0,250.0,74.0,72.0,78.0,78.0,250.0,250.0,67.0,250.0,69.0,78.0,250.0,69.0,69.0,72.0
3,250.0,250.0,250.0,250.0,100.0,71.0,250.0,250.0,69.0,69.0,71.0,60.0,60.0,57.0,250.0,250.0,76.0,74.0,74.0,250.0,100.0,78.0,56.0,76.0,72.0,64.0,250.0,65.0,65.0,72.0,250.0
4,72.0,72.0,61.0,68.0,72.0,72.0,82.0,68.0,68.0,72.0,72.0,72.0,82.0,82.0,79.0,56.0,56.0,56.0,86.0,76.0,55.0,55.0,55.0,70.0,65.0,74.0,76.0,76.0,82.0,73.0,70.0
5,69.0,67.0,76.0,61.0,74.0,0.0,76.0,79.0,100.0,0.0,0.0,63.0,73.0,62.0,76.0,59.0,65.0,71.0,68.0,70.0,74.0,250.0,250.0,68.0,67.0,250.0,250.0,250.0,250.0,250.0,67.0
6,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,56.0,250.0,58.0,71.0,47.0,58.0,58.0,59.0,100.0,58.0,72.0,58.0,0.0,72.0,66.0,60.0,66.0,62.0
7,0.0,70.0,80.0,69.0,84.0,63.0,78.0,62.0,56.0,72.0,65.0,53.0,63.0,69.0,59.0,74.0,100.0,86.0,100.0,62.0,100.0,69.0,69.0,62.0,70.0,100.0,67.0,64.0,64.0,69.0,100.0
8,100.0,59.0,67.0,60.0,69.0,100.0,100.0,49.0,69.0,56.0,100.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
9,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
10,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,73.0,250.0,73.0,69.0,250.0,71.0,55.0,61.0,73.0,73.0,54.0,54.0,54.0,54.0,100.0,61.0,73.0,72.0,72.0,250.0
11,100.0,68.0,68.0,73.0,67.0,250.0,250.0,250.0,67.0,53.0,66.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
12,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,89.0,74.0,74.0,93.0,79.0,87.0,93.0,73.0,86.0,79.0,90.0,90.0,87.0,87.0,81.0,81.0,90.0,90.0,90.0,38.0
13,38.0,81.0,81.0,40.0,38.0,40.0,91.0,100.0,66.0,100.0,85.0,63.0,68.0,55.0,57.0,75.0,69.0,68.0,69.0,77.0,250.0,68.0,0.0,69.0,58.0,67.0,46.0,85.0,0.0,70.0,43.0
14,67.0,71.0,69.0,63.0,67.0,70.0,61.0,62.0,62.0,62.0,83.0,83.0,83.0,72.0,72.0,42.0,83.0,83.0,67.0,67.0,84.0,84.0,42.0,42.0,42.0,86.0,86.0,86.0,82.0,38.0,38.0
15,38.0,81.0,100.0,81.0,78.0,100.0,74.0,67.0,52.0,78.0,0.0,67.0,67.0,66.0,63.0,100.0,74.0,74.0,73.0,67.0,100.0,79.0,79.0,74.0,68.0,51.0,76.0,74.0,58.0,69.0,69.0
16,74.0,69.0,100.0,85.0,100.0,68.0,68.0,68.0,53.0,53.0,84.0,84.0,68.0,68.0,47.0,74.0,74.0,62.0,84.0,58.0,67.0,67.0,75.0,74.0,62.0,75.0,75.0,67.0,44.0,75.0,75.0
17,74.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
18,250.0,100.0,74.0,74.0,100.0,100.0,80.0,75.0,49.0,76.0,76.0,75.0,67.0,75.0,70.0,100.0,100.0,74.0,74.0,72.0,35.0,100.0,79.0,78.0,44.0,100.0,78.0,76.0,64.0,72.0,72.0
19,74.0,81.0,70.0,70.0,73.0,70.0,70.0,66.0,73.0,73.0,73.0,73.0,65.0,65.0,65.0,81.0,63.0,63.0,63.0,57.0,81.0,81.0,66.0,63.0,63.0,57.0,57.0,57.0,50.0,50.0,50.0
20,64.0,66.0,60.0,84.0,86.0,87.0,83.0,65.0,49.0,65.0,78.0,73.0,62.0,62.0,67.0,48.0,100.0,62.0,82.0,57.0,73.0,80.0,100.0,81.0,48.0,57.0,82.0,75.0,46.0,57.0,70.0
21,64.0,250.0,65.0,64.0,250.0,64.0,250.0,62.0,250.0,250.0,49.0,64.0,250.0,250.0,62.0,48.0,48.0,48.0,48.0,250.0,250.0,47.0,47.0,250.0,250.0,250.0,250.0,82.0,75.0,100.0,250.0
22,82.0,71.0,67.0,68.0,68.0,0.0,77.0,67.0,68.0,66.0,48.0,75.0,0.0,75.0,66.0,100.0,84.0,100.0,77.0,76.0,72.0,100.0,84.0,66.0,75.0,72.0,75.0,69.0,69.0,69.0,100.0
23,100.0,100.0,69.0,100.0,71.0,100.0,100.0,62.0,62.0,73.0,100.0,100.0,71.0,71.0,100.0,250.0,100.0,100.0,52.0,52.0,100.0,67.0,67.0,52.0,52.0,67.0,66.0,100.0,71.0,76.0,100.0
24,100.0,66.0,69.0,47.0,77.0,76.0,76.0,75.0,69.0,67.0,91.0,84.0,84.0,65.0,76.0,66.0,79.0,79.0,67.0,84.0,69.0,66.0,79.0,42.0,69.0,73.0,75.0,85.0,70.0,70.0,70.0
25,100.0,81.0,64.0,64.0,65.0,78.0,74.0,74.0,64.0,64.0,100.0,75.0,81.0,59.0,59.0,78.0,84.0,50.0,55.0,68.0,71.0,56.0,70.0,70.0,83.0,63.0,76.0,76.0,68.0,68.0,68.0
26,85.0,55.0,68.0,68.0,73.0,76.0,82.0,82.0,55.0,57.0,65.0,65.0,81.0,42.0,63.0,79.0,63.0,78.0,78.0,79.0,100.0,61.0,85.0,72.0,100.0,100.0,80.0,75.0,65.0,75.0,55.0
27,100.0,100.0,86.0,74.0,73.0,76.0,100.0,100.0,87.0,52.0,69.0,76.0,76.0,72.0,69.0,77.0,78.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
28,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,82.0,250.0,250.0,250.0,76.0,250.0,250.0,76.0,250.0,76.0,250.0,70.0,250.0,73.0
29,250.0,250.0,71.0,76.0,250.0,250.0,250.0,250.0,250.0,71.0,77.0,79.0,250.0,250.0,73.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
30,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,64.0,250.0,250.0,250.0,250.0,100.0,85.0,57.0,250.0,75.0,57.0,57.0,59.0,0.0,75.0,66.0,66.0,65.0,65.0
31,250.0,59.0,0.0,70.0,70.0,250.0,250.0,61.0,61.0,74.0,62.0,62.0,75.0,250.0,50.0,71.0,74.0,100.0,250.0,250.0,100.0,250.0,250.0,250.0,100.0,100.0,60.0,60.0,250.0,66.0,250.0
