,0,1,2,3,4,5,6
0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
1,250.0,250.0,250.0,250.0,250.0,250.0,250.0
2,250.0,75.0,250.0,250.0,250.0,56.0,70.0
3,61.0,250.0,75.0,49.0,250.0,48.0,48.0
4,55.0,73.0,51.0,51.0,72.0,52.0,69.0
5,77.0,72.0,74.0,63.0,63.0,49.0,250.0
6,250.0,44.0,44.0,51.0,35.0,66.0,74.0
7,66.0,59.0,66.0,64.0,100.0,83.0,100.0
8,38.0,59.0,59.0,250.0,250.0,250.0,250.0
9,250.0,250.0,250.0,250.0,250.0,250.0,250.0
10,250.0,250.0,250.0,67.0,63.0,67.0,250.0
11,70.0,250.0,70.0,250.0,250.0,250.0,250.0
12,250.0,250.0,250.0,40.0,35.0,40.0,46.0
13,46.0,46.0,44.0,58.0,70.0,42.0,53.0
14,42.0,64.0,74.0,74.0,69.0,72.0,72.0
15,67.0,67.0,68.0,66.0,62.0,68.0,62.0
16,62.0,50.0,47.0,50.0,35.0,39.0,41.0
17,47.0,250.0,250.0,250.0,250.0,250.0,250.0
18,250.0,48.0,50.0,69.0,50.0,60.0,57.0
19,60.0,47.0,47.0,76.0,37.0,45.0,47.0
20,47.0,54.0,54.0,54.0,250.0,54.0,46.0
21,57.0,250.0,250.0,250.0,250.0,36.0,250.0
22,62.0,50.0,82.0,32.0,71.0,24.0,63.0
23,44.0,49.0,41.0,29.0,51.0,29.0,29.0
24,76.0,46.0,76.0,37.0,37.0,35.0,56.0
25,57.0,57.0,57.0,52.0,52.0,54.0,77.0
26,73.0,42.0,47.0,42.0,68.0,48.0,100.0
27,61.0,39.0,39.0,47.0,62.0,250.0,250.0
28,250.0,250.0,250.0,250.0,250.0,250.0,250.0
29,76.0,250.0,250.0,62.0,70.0,250.0,250.0
30,250.0,250.0,250.0,32.0,32.0,72.0,250.0
31,56.0,250.0,250.0,46.0,250.0,64.0,250.0
32,250.0,31.0,250.0,34.0,44.0,41.0,41.0
33,77.0,37.0,48.0,44.0,44.0,65.0,46.0
34,51.0,56.0,56.0,43.0,75.0,70.0,100.0
35,100.0,68.0,59.0,100.0,100.0,100.0,28.0
36,100.0,55.0,63.0,70.0,39.0,39.0,34.0
37,35.0,34.0,35.0,51.0,57.0,83.0,29.0
38,63.0,22.0,53.0,52.0,52.0,52.0,24.0
39,42.0,29.0,44.0,71.0,71.0,81.0,43.0
40,43.0,43.0,55.0,59.0,52.0,50.0,50.0
41,42.0,74.0,45.0,75.0,42.0,42.0,43.0
42,43.0,250.0,250.0,250.0,250.0,250.0,250.0
43,67.0,250.0,250.0,250.0,27.0,250.0,68.0
44,250.0,250.0,250.0,250.0,250.0,250.0,250.0
45,250.0,250.0,250.0,250.0,250.0,250.0,250.0
46,250.0,250.0,250.0,250.0,250.0,250.0,250.0
47,250.0,250.0,250.0,250.0,250.0,250.0,250.0
48,250.0,250.0,250.0,250.0,250.0,250.0,250.0
49,250.0,250.0,250.0,250.0,250.0,250.0,71.0
50,66.0,66.0,250.0,66.0,43.0,43.0,61.0
51,64.0,70.0,63.0,70.0,75.0,250.0,71.0
52,250.0,250.0,250.0,250.0,250.0,250.0,250.0
53,250.0,250.0,250.0,250.0,250.0,250.0,250.0
54,250.0,250.0,250.0,250.0,74.0,71.0,63.0
55,45.0,71.0,72.0,61.0,58.0,64.0,37.0
56,37.0,42.0,250.0,55.0,55.0,73.0,67.0
57,67.0,39.0,250.0,250.0,250.0,250.0,250.0
58,250.0,250.0,250.0,250.0,250.0,250.0,250.0
59,250.0,250.0,60.0,76.0,74.0,62.0,72.0
60,78.0,100.0,100.0,100.0,51.0,100.0,100.0
61,250.0,250.0,250.0,250.0,250.0,250.0,250.0
62,100.0,250.0,100.0,250.0,250.0,55.0,49.0
63,50.0,39.0,49.0,39.0,49.0,59.0,55.0
64,59.0,31.0,55.0,31.0,48.0,68.0,68.0
65,68.0,34.0,34.0,42.0,42.0,73.0,61.0
66,73.0,29.0,61.0,29.0,70.0,67.0,250.0
67,250.0,39.0,39.0,39.0,39.0,250.0,250.0
68,250.0,250.0,250.0,250.0,100.0,100.0,100.0
69,82.0,100.0,82.0,74.0,250.0,74.0,250.0
70,66.0,250.0,65.0,250.0,250.0,250.0,250.0
71,250.0,250.0,69.0,65.0,250.0,60.0,60.0
72,60.0,60.0,250.0,250.0,250.0,250.0,250.0
73,250.0,250.0,250.0,250.0,250.0,250.0,250.0
74,250.0,250.0,250.0,250.0,250.0,250.0,250.0
75,250.0,250.0,250.0,250.0,250.0,250.0,250.0
76,250.0,250.0,83.0,82.0,80.0,75.0,80.0
77,79.0,250.0,250.0,250.0,250.0,250.0,250.0
78,250.0,250.0,250.0,250.0,250.0,250.0,250.0
79,250.0,82.0,250.0,250.0,250.0,250.0,54.0
80,250.0,250.0,250.0,250.0,250.0,250.0,250.0
81,250.0,250.0,71.0,33.0,250.0,250.0,71.0
82,50.0,39.0,38.0,39.0,39.0,47.0,47.0
83,45.0,78.0,81.0,250.0,74.0,71.0,76.0
84,250.0,250.0,250.0,250.0,250.0,250.0,70.0
85,62.0,70.0,51.0,51.0,51.0,63.0,65.0
86,63.0,65.0,36.0,63.0,36.0,36.0,250.0
87,250.0,250.0,250.0,250.0,250.0,250.0,250.0
88,81.0,100.0,29.0,68.0,61.0,68.0,45.0
89,44.0,43.0,100.0,43.0,34.0,72.0,100.0
90,69.0,73.0,70.0,70.0,62.0,41.0,41.0
91,43.0,29.0,47.0,47.0,250.0,250.0,250.0
92,250.0,250.0,250.0,250.0,250.0,250.0,250.0
93,250.0,250.0,250.0,250.0,250.0,250.0,250.0
94,250.0,250.0,250.0,59.0,62.0,250.0,52.0
95,52.0,42.0,52.0,250.0,250.0,250.0,250.0
96,250.0,36.0,250.0,73.0,250.0,70.0,47.0
97,250.0,59.0,60.0,250.0,250.0,250.0,250.0
98,250.0,250.0,250.0,69.0,70.0,69.0,69.0
99,72.0,70.0,60.0,63.0,48.0,41.0,45.0
100,41.0,55.0,57.0,250.0,250.0,250.0,250.0
101,250.0,55.0,65.0,50.0,53.0,65.0,53.0
102,41.0,250.0,250.0,250.0,250.0,250.0,250.0
103,250.0,59.0,63.0,100.0,39.0,62.0,47.0
104,62.0,250.0,250.0,250.0,250.0,250.0,250.0
105,250.0,250.0,69.0,250.0,45.0,250.0,250.0
106,250.0,250.0,250.0,250.0,250.0,250.0,250.0
107,250.0,250.0,250.0,250.0,250.0,250.0,250.0
108,250.0,250.0,250.0,250.0,250.0,250.0,250.0
109,250.0,250.0,250.0,250.0,250.0,250.0,250.0
110,250.0,69.0,69.0,69.0,27.0,61.0,55.0
111,58.0,72.0,41.0,41.0,38.0,41.0,38.0
112,35.0,250.0,250.0,250.0,250.0,250.0,250.0
113,250.0,72.0,46.0,46.0,26.0,68.0,39.0
114,39.0,53.0,59.0,79.0,54.0,54.0,49.0
115,44.0,45.0,48.0,48.0,28.0,28.0,28.0
116,28.0,77.0,75.0,61.0,48.0,64.0,64.0
117,69.0,67.0,54.0,32.0,67.0,32.0,32.0
