,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,250.0,250.0,0.0,0.0,250.0,0.0
2,250.0,250.0,250.0,250.0,250.0,250.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,250.0,250.0,250.0,250.0,250.0,250.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,250.0,250.0,250.0,250.0,250.0,250.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,15.0,0.0,0.0,0.0,0.0
18,250.0,250.0,250.0,250.0,250.0,250.0
19,250.0,250.0,250.0,250.0,250.0,250.0
20,250.0,100.0,250.0,250.0,250.0,100.0
21,250.0,250.0,250.0,250.0,250.0,250.0
22,86.0,86.0,86.0,86.0,86.0,100.0
23,72.0,75.0,72.0,73.0,75.0,75.0
24,74.0,67.0,69.0,59.0,64.0,63.0
25,40.0,35.0,35.0,93.0,93.0,39.0
26,67.0,51.0,68.0,65.0,54.0,57.0
27,45.0,100.0,45.0,39.0,39.0,39.0
28,78.0,74.0,250.0,44.0,68.0,67.0
29,250.0,49.0,250.0,34.0,41.0,41.0
30,75.0,75.0,45.0,43.0,66.0,57.0
31,61.0,57.0,56.0,53.0,53.0,40.0
32,0.0,33.0,28.0,24.0,28.0,28.0
33,76.0,61.0,67.0,50.0,69.0,54.0
34,35.0,37.0,35.0,32.0,32.0,70.0
35,70.0,75.0,63.0,39.0,62.0,62.0
36,100.0,100.0,100.0,76.0,100.0,100.0
37,250.0,250.0,250.0,250.0,250.0,250.0
38,64.0,100.0,71.0,40.0,64.0,57.0
39,62.0,62.0,73.0,51.0,250.0,250.0
40,74.0,50.0,58.0,43.0,58.0,53.0
41,250.0,250.0,250.0,250.0,250.0,250.0
42,65.0,65.0,55.0,41.0,65.0,52.0
43,47.0,100.0,47.0,57.0,54.0,54.0
44,71.0,52.0,66.0,57.0,62.0,62.0
45,70.0,84.0,70.0,74.0,74.0,54.0
46,68.0,68.0,68.0,75.0,75.0,75.0
47,68.0,52.0,68.0,65.0,68.0,31.0
48,250.0,250.0,250.0,250.0,250.0,250.0
49,76.0,250.0,250.0,250.0,77.0,250.0
50,81.0,81.0,81.0,53.0,250.0,250.0
51,100.0,100.0,100.0,88.0,88.0,77.0
52,250.0,250.0,250.0,250.0,250.0,250.0
53,65.0,61.0,48.0,32.0,44.0,44.0
54,56.0,55.0,55.0,42.0,36.0,36.0
55,55.0,52.0,66.0,34.0,46.0,46.0
56,69.0,100.0,53.0,35.0,38.0,38.0
57,250.0,250.0,250.0,250.0,250.0,250.0
58,55.0,73.0,72.0,52.0,71.0,52.0
59,250.0,250.0,250.0,250.0,250.0,250.0
60,250.0,250.0,250.0,250.0,250.0,250.0
61,70.0,59.0,76.0,37.0,61.0,61.0
62,37.0,71.0,37.0,31.0,31.0,52.0
63,45.0,43.0,60.0,39.0,50.0,50.0
64,50.0,50.0,41.0,52.0,52.0,52.0
65,250.0,250.0,75.0,250.0,250.0,250.0
66,44.0,38.0,44.0,24.0,35.0,23.0
67,63.0,63.0,44.0,33.0,33.0,33.0
68,45.0,36.0,36.0,35.0,45.0,63.0
69,250.0,250.0,250.0,250.0,250.0,250.0
70,250.0,250.0,34.0,250.0,250.0,250.0
71,46.0,46.0,100.0,100.0,41.0,0.0
72,250.0,250.0,250.0,250.0,250.0,250.0
73,250.0,250.0,250.0,250.0,250.0,250.0
74,250.0,250.0,250.0,250.0,250.0,250.0
75,250.0,250.0,250.0,250.0,250.0,250.0
76,250.0,250.0,250.0,250.0,250.0,250.0
77,250.0,250.0,250.0,250.0,250.0,250.0
