,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,80.0,80.0,77.0,67.0,72.0,72.0,70.0,70.0,70.0,72.0,72.0,72.0,70.0,70.0,60.0,60.0,72.0,72.0,57.0,70.0,70.0,70.0,62.0,67.0,67.0,67.0
1,81.0,77.0,70.0,58.0,77.0,70.0,78.0,58.0,71.0,57.0,82.0,50.0,78.0,58.0,67.0,67.0,66.0,51.0,75.0,77.0,81.0,69.0,67.0,235.0,46.0,75.0
2,235.0,58.0,69.0,57.0,87.0,54.0,54.0,74.0,74.0,87.0,70.0,70.0,66.0,66.0,85.0,89.0,70.0,235.0,70.0,51.0,85.0,89.0,89.0,75.0,75.0,75.0
3,84.0,78.0,72.0,72.0,74.0,73.0,66.0,75.0,60.0,235.0,77.0,79.0,56.0,100.0,88.0,235.0,61.0,72.0,61.0,72.0,71.0,74.0,52.0,72.0,72.0,67.0
4,90.0,79.0,79.0,79.0,92.0,75.0,75.0,75.0,92.0,79.0,77.0,75.0,75.0,83.0,91.0,79.0,79.0,77.0,77.0,78.0,91.0,91.0,91.0,100.0,93.0,100.0
5,250.0,250.0,250.0,69.0,72.0,88.0,70.0,90.0,73.0,75.0,87.0,70.0,70.0,88.0,250.0,87.0,87.0,84.0,70.0,74.0,85.0,85.0,68.0,74.0,78.0,72.0
6,100.0,100.0,100.0,86.0,100.0,100.0,100.0,235.0,86.0,100.0,100.0,100.0,100.0,100.0,86.0,81.0,83.0,83.0,90.0,100.0,100.0,86.0,86.0,100.0,58.0,100.0
7,78.0,72.0,53.0,53.0,70.0,70.0,52.0,77.0,58.0,59.0,59.0,67.0,58.0,58.0,235.0,235.0,59.0,235.0,50.0,77.0,77.0,56.0,70.0,64.0,64.0,64.0
8,81.0,81.0,75.0,81.0,75.0,75.0,66.0,81.0,74.0,63.0,74.0,100.0,72.0,72.0,75.0,57.0,82.0,82.0,61.0,65.0,250.0,100.0,100.0,60.0,250.0,66.0
9,71.0,250.0,250.0,250.0,250.0,250.0,250.0,69.0,69.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,64.0,250.0,250.0,250.0,70.0,250.0,250.0,250.0
10,250.0,70.0,77.0,70.0,235.0,76.0,77.0,83.0,68.0,250.0,235.0,76.0,72.0,57.0,235.0,72.0,50.0,49.0,65.0,80.0,250.0,55.0,72.0,73.0,68.0,69.0
11,81.0,81.0,66.0,66.0,75.0,66.0,66.0,66.0,66.0,80.0,75.0,75.0,75.0,97.0,96.0,64.0,76.0,76.0,75.0,82.0,100.0,64.0,64.0,64.0,64.0,64.0
12,79.0,70.0,71.0,68.0,61.0,235.0,68.0,71.0,59.0,79.0,78.0,54.0,61.0,71.0,235.0,75.0,64.0,78.0,54.0,79.0,79.0,72.0,56.0,71.0,66.0,74.0
13,100.0,70.0,85.0,85.0,90.0,90.0,64.0,55.0,55.0,60.0,60.0,56.0,64.0,64.0,94.0,75.0,60.0,60.0,56.0,81.0,81.0,94.0,75.0,81.0,81.0,68.0
14,60.0,56.0,100.0,56.0,72.0,52.0,52.0,70.0,60.0,60.0,60.0,58.0,53.0,53.0,58.0,79.0,77.0,62.0,64.0,77.0,75.0,69.0,66.0,57.0,71.0,59.0
15,85.0,85.0,79.0,79.0,74.0,74.0,57.0,71.0,57.0,65.0,67.0,68.0,57.0,71.0,100.0,71.0,78.0,83.0,53.0,66.0,85.0,81.0,58.0,235.0,66.0,59.0
16,100.0,67.0,63.0,67.0,69.0,69.0,56.0,56.0,70.0,55.0,55.0,77.0,77.0,77.0,78.0,47.0,55.0,55.0,77.0,78.0,78.0,78.0,47.0,56.0,56.0,45.0
17,77.0,100.0,82.0,60.0,73.0,73.0,67.0,73.0,57.0,70.0,75.0,80.0,76.0,100.0,90.0,60.0,75.0,62.0,62.0,73.0,100.0,79.0,66.0,73.0,72.0,71.0
18,62.0,62.0,56.0,73.0,75.0,54.0,54.0,75.0,75.0,53.0,56.0,75.0,75.0,75.0,76.0,80.0,46.0,46.0,75.0,51.0,100.0,76.0,46.0,51.0,51.0,51.0
19,100.0,74.0,71.0,235.0,76.0,71.0,65.0,69.0,235.0,72.0,68.0,73.0,53.0,69.0,88.0,78.0,55.0,64.0,63.0,77.0,84.0,71.0,66.0,77.0,70.0,74.0
20,100.0,100.0,100.0,100.0,58.0,58.0,58.0,72.0,70.0,100.0,48.0,58.0,58.0,72.0,100.0,100.0,53.0,48.0,48.0,100.0,59.0,59.0,46.0,53.0,55.0,53.0
21,74.0,57.0,63.0,57.0,74.0,69.0,52.0,55.0,64.0,79.0,79.0,72.0,58.0,63.0,80.0,80.0,76.0,51.0,61.0,78.0,78.0,58.0,58.0,71.0,45.0,65.0
22,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
23,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
24,65.0,75.0,250.0,59.0,58.0,58.0,50.0,250.0,250.0,55.0,250.0,250.0,50.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,59.0
25,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,58.0,250.0,250.0,250.0,100.0,100.0,250.0,250.0,250.0,250.0,100.0,250.0,250.0,250.0,250.0,250.0,250.0,235.0
26,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,235.0,250.0,235.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
27,91.0,64.0,91.0,58.0,82.0,64.0,58.0,76.0,64.0,100.0,60.0,60.0,64.0,64.0,250.0,250.0,84.0,68.0,68.0,69.0,250.0,250.0,250.0,65.0,65.0,65.0
28,100.0,54.0,67.0,72.0,235.0,65.0,100.0,73.0,100.0,77.0,67.0,250.0,250.0,81.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,72.0,250.0,72.0
29,100.0,100.0,100.0,100.0,66.0,66.0,53.0,53.0,53.0,65.0,66.0,66.0,100.0,100.0,100.0,55.0,57.0,57.0,55.0,63.0,100.0,100.0,55.0,63.0,63.0,51.0
30,87.0,68.0,56.0,67.0,73.0,73.0,55.0,68.0,68.0,80.0,235.0,68.0,55.0,75.0,76.0,76.0,69.0,51.0,57.0,67.0,235.0,43.0,76.0,67.0,67.0,56.0
31,82.0,82.0,74.0,71.0,82.0,82.0,61.0,69.0,55.0,69.0,76.0,49.0,61.0,69.0,100.0,100.0,49.0,76.0,49.0,70.0,81.0,56.0,100.0,66.0,74.0,58.0
32,250.0,250.0,235.0,250.0,250.0,235.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
33,75.0,62.0,67.0,62.0,78.0,74.0,61.0,68.0,68.0,78.0,69.0,74.0,61.0,66.0,70.0,70.0,78.0,69.0,69.0,77.0,76.0,66.0,54.0,71.0,51.0,69.0
34,71.0,56.0,56.0,68.0,55.0,68.0,57.0,57.0,57.0,55.0,49.0,49.0,68.0,57.0,74.0,75.0,75.0,49.0,49.0,74.0,74.0,74.0,75.0,42.0,42.0,42.0
35,100.0,74.0,80.0,63.0,79.0,70.0,59.0,68.0,71.0,69.0,83.0,75.0,71.0,79.0,100.0,71.0,74.0,62.0,66.0,77.0,87.0,76.0,67.0,77.0,70.0,76.0
36,100.0,100.0,100.0,63.0,100.0,100.0,63.0,63.0,74.0,100.0,55.0,55.0,63.0,63.0,58.0,58.0,100.0,52.0,100.0,100.0,100.0,47.0,100.0,100.0,47.0,100.0
37,61.0,72.0,68.0,73.0,63.0,73.0,69.0,69.0,75.0,68.0,69.0,69.0,69.0,69.0,56.0,68.0,67.0,70.0,70.0,71.0,59.0,70.0,65.0,68.0,67.0,69.0
38,100.0,100.0,100.0,100.0,100.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,100.0,250.0,250.0,250.0,250.0,100.0,100.0,250.0,250.0,100.0,100.0,100.0
39,70.0,64.0,79.0,64.0,71.0,64.0,64.0,66.0,66.0,250.0,250.0,70.0,64.0,68.0,77.0,62.0,250.0,250.0,70.0,72.0,77.0,77.0,62.0,68.0,68.0,73.0
40,80.0,84.0,80.0,84.0,100.0,80.0,70.0,58.0,58.0,59.0,75.0,75.0,52.0,72.0,86.0,79.0,79.0,49.0,65.0,59.0,76.0,81.0,68.0,59.0,74.0,61.0
41,72.0,70.0,69.0,69.0,55.0,69.0,69.0,69.0,70.0,67.0,71.0,71.0,71.0,79.0,76.0,67.0,67.0,67.0,71.0,71.0,75.0,75.0,75.0,75.0,75.0,69.0
42,77.0,79.0,72.0,59.0,74.0,74.0,57.0,72.0,69.0,72.0,77.0,74.0,57.0,74.0,82.0,75.0,79.0,67.0,74.0,83.0,75.0,74.0,49.0,71.0,59.0,57.0
43,53.0,53.0,65.0,51.0,65.0,65.0,50.0,51.0,51.0,55.0,51.0,51.0,51.0,51.0,70.0,70.0,35.0,35.0,39.0,100.0,54.0,48.0,53.0,32.0,32.0,32.0
44,82.0,84.0,56.0,55.0,77.0,77.0,55.0,71.0,66.0,76.0,61.0,62.0,68.0,69.0,74.0,77.0,50.0,61.0,62.0,75.0,77.0,58.0,48.0,68.0,52.0,71.0
45,79.0,71.0,71.0,52.0,64.0,64.0,52.0,49.0,52.0,100.0,53.0,100.0,49.0,49.0,61.0,100.0,100.0,53.0,50.0,58.0,58.0,61.0,45.0,48.0,47.0,48.0
46,66.0,74.0,64.0,100.0,68.0,68.0,73.0,78.0,100.0,70.0,70.0,70.0,70.0,73.0,74.0,72.0,72.0,100.0,77.0,75.0,72.0,72.0,75.0,75.0,72.0,73.0
47,85.0,63.0,100.0,58.0,69.0,59.0,58.0,67.0,69.0,72.0,69.0,59.0,54.0,54.0,60.0,100.0,72.0,49.0,49.0,77.0,55.0,60.0,51.0,57.0,55.0,58.0
48,70.0,70.0,49.0,49.0,72.0,58.0,58.0,54.0,67.0,73.0,59.0,59.0,68.0,68.0,72.0,72.0,73.0,39.0,53.0,74.0,74.0,75.0,40.0,46.0,75.0,46.0
49,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
50,67.0,69.0,66.0,78.0,66.0,66.0,66.0,82.0,81.0,250.0,67.0,82.0,82.0,82.0,73.0,250.0,250.0,250.0,81.0,72.0,250.0,250.0,71.0,72.0,250.0,67.0
51,100.0,76.0,100.0,69.0,81.0,67.0,71.0,69.0,59.0,235.0,235.0,67.0,71.0,235.0,100.0,71.0,81.0,67.0,51.0,78.0,77.0,77.0,71.0,69.0,77.0,69.0
52,63.0,63.0,76.0,63.0,100.0,59.0,59.0,100.0,82.0,71.0,64.0,82.0,82.0,100.0,100.0,71.0,71.0,64.0,86.0,100.0,100.0,100.0,54.0,52.0,50.0,52.0
53,79.0,75.0,67.0,75.0,78.0,56.0,56.0,70.0,67.0,79.0,73.0,73.0,66.0,65.0,78.0,67.0,71.0,46.0,46.0,235.0,78.0,78.0,65.0,78.0,78.0,100.0
54,79.0,60.0,80.0,60.0,70.0,57.0,57.0,54.0,54.0,63.0,61.0,57.0,57.0,54.0,100.0,55.0,61.0,61.0,50.0,66.0,61.0,53.0,46.0,50.0,53.0,50.0
55,100.0,77.0,81.0,51.0,64.0,49.0,49.0,70.0,70.0,76.0,64.0,58.0,65.0,58.0,77.0,68.0,68.0,76.0,51.0,79.0,76.0,76.0,76.0,50.0,38.0,45.0
56,77.0,65.0,69.0,65.0,100.0,69.0,76.0,76.0,53.0,68.0,74.0,74.0,49.0,100.0,81.0,87.0,80.0,53.0,71.0,100.0,100.0,49.0,55.0,100.0,100.0,57.0
57,74.0,60.0,60.0,60.0,81.0,81.0,81.0,63.0,63.0,100.0,100.0,81.0,81.0,63.0,72.0,72.0,100.0,100.0,100.0,71.0,71.0,71.0,71.0,71.0,71.0,73.0
58,100.0,70.0,79.0,50.0,76.0,68.0,100.0,69.0,67.0,54.0,77.0,71.0,68.0,69.0,80.0,72.0,100.0,61.0,70.0,64.0,63.0,71.0,59.0,64.0,55.0,66.0
